#NAME?,0.0074,ATM,0.5,15.48
3Y,3.0047,ATM,0.5,11.0475
3Y,3.0047,35D_CALL,0.35,10.9688
3Y,3.0047,35D_PUT,0.65,11.3613
3Y,3.0047,25D_CALL,0.25,11.065
3Y,3.0047,25D_PUT,0.75,11.79
3Y,3.0047,15D_CALL,0.15,11.4225
3Y,3.0047,15D_PUT,0.85,12.4975
3Y,3.0047,10D_CALL,0.1,11.7375
3Y,3.0047,10D_PUT,0.9,13.0725
4Y,4.0047,ATM,0.5,11.34
4Y,4.0047,35D_CALL,0.35,11.3563
4Y,4.0047,35D_PUT,0.65,11.5638
4Y,4.0047,25D_CALL,0.25,11.5275
4Y,4.0047,25D_PUT,0.75,11.9125
4Y,4.0047,15D_CALL,0.15,11.97
4Y,4.0047,15D_PUT,0.85,12.54
4Y,4.0047,10D_CALL,0.1,12.34
4Y,4.0047,10D_PUT,0.9,13.065
5Y,5.0019,ATM,0.5,11.545
5Y,5.0019,35D_CALL,0.35,11.5913
5Y,5.0019,35D_PUT,0.65,11.7388
5Y,5.0019,25D_CALL,0.25,11.7838
5Y,5.0019,25D_PUT,0.75,12.0663
5Y,5.0019,15D_CALL,0.15,12.2575
5Y,5.0019,15D_PUT,0.85,12.6675
5Y,5.0019,10D_CALL,0.1,12.6475
5Y,5.0019,10D_PUT,0.9,13.1775
7Y,7.0074,ATM,0.5,11.86
7Y,7.0074,35D_CALL,0.35,11.9125
7Y,7.0074,35D_PUT,0.65,12.0625
7Y,7.0074,25D_CALL,0.25,12.1025
7Y,7.0074,25D_PUT,0.75,12.3875
7Y,7.0074,15D_CALL,0.15,12.5275
7Y,7.0074,15D_PUT,0.85,12.9725
7Y,7.0074,10D_CALL,0.1,12.8875
7Y,7.0074,10D_PUT,0.9,13.4625
10Y,10.0074,ATM,0.5,12.1525
10Y,10.0074,35D_CALL,0.35,12.1312
10Y,10.0074,35D_PUT,0.65,12.3987
10Y,10.0074,25D_CALL,0.25,12.265
10Y,10.0074,25D_PUT,0.75,12.76
10Y,10.0074,15D_CALL,0.15,12.6437
10Y,10.0074,15D_PUT,0.85,13.4112
10Y,10.0074,10D_CALL,0.1,12.96
10Y,10.0074,10D_PUT,0.9,13.955
